"Costeo","Nombre","Cliente","Estado","Nombre del Comercial","Margen Ponderado","Creado en","Acciones","Id."
"COS-0012954","Muestas Grupo Melo (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",27.32,"16/04/2026 18:54","Duplicar Costeo","83496444"
"COS-0012953","COTIZACIÓN Papa Johns (PA)","Molt Panamá (PA)","Creado","Simón Román",23.08,"16/04/2026 15:59","Solicitar Revisión / Aprobado","83487888"
"COS-0012952","Cofias albateq pedido faltante","ALBATEQ","Generada Cotización","Frank Sanchez",13.04,"16/04/2026 13:34","Duplicar Costeo","83482943"
"COS-0012951","DOTACION ADMINISTRATIVA  GLOBAL CAMBIO ABRIL 2026","MOLT","Creado","Xiomara Aranda Perea",23.08,"16/04/2026 11:27","Solicitar Revisión / Aprobado","83479156"
"COS-0012950","PRENDAS CINECOLOMBIA CINEPOLITANA  ABRIL 2026","CINECOLOMBIA","Creado","Xiomara Aranda Perea",23.95,"15/04/2026 15:27","Solicitar Revisión / Aprobado","83421478"
"COS-0012949","Prendas  Positiva  2 Marzo 2026","MOLT","Generada Cotización","Geraldine Ruiz",33.67,"14/04/2026 15:08","Duplicar Costeo","83356543"
"COS-0012948","CHAQUETA  SPORT  Y POLO BODYTECH ABRIL 2026","BODYTECH","Creado","Miguel Gutierrez",23.08,"14/04/2026 14:23","Solicitar Revisión / Aprobado","83353933"
"COS-0012947","Propuesta Prendas Operativas  de Bodytech La Fayette  2 Marzo  2026","BODYTECH","Generada Cotización","Miguel Gutierrez",23.08,"14/04/2026 14:18","Duplicar Costeo","83353394"
"COS-0012946","PRENDAS CONTROL 24 S.A.S ABRIL 2026","MOLT","Generada Cotización","Xiomara Aranda Perea",23.08,"14/04/2026 12:13","Duplicar Costeo","83348506"
"COS-0012945","PEIDO OVEROLES ENTERIZO IGNIFUGO  POINTER  ABRIL 2026","POINTER","Generada Cotización","Xiomara Aranda Perea",23.08,"14/04/2026 7:22","Duplicar Costeo","83330540"
"COS-0012944","UNIFORMES  COLEGIO PANAMA ABRIL  2026","Molt Panamá (PA)","Generada Cotización","Miguel Gutierrez",20.0,"13/04/2026 17:59","Duplicar Costeo","83288609"
"COS-0012943","DOTACION TRAFICO DE PASAJEROS","AEROSAN S.A.S.","Generada Cotización","Pilar Gómez",22.85,"13/04/2026 17:00","Duplicar Costeo","83287039"
"COS-0012942","Camisas clima calido / pedido","Eco Tech Engineering sas","Creado","Frank Sanchez",34.21,"13/04/2026 16:54","Solicitar Revisión / Aprobado","83286605"
"COS-0012941","MUESTRAS LICITACION PEPSSICO ABRIL  2026","Pepsico","Generada Cotización","Xiomara Aranda Perea",20.0,"13/04/2026 16:38","Duplicar Costeo","83285560"
"COS-0012940","DOTACION TRAFICO DE PASAJEROS","AEROSAN S.A.S.","Creado","Paola Manrique",22.85,"13/04/2026 14:44","Solicitar Revisión / Aprobado","83279753"
"COS-0012939","MUESTRA CHAQUETA  ROMPEVIENTOS  OPERATIVA YUNEX ABRIL 2026","Yunex","Generada Cotización","Xiomara Aranda Perea",23.08,"13/04/2026 14:38","Duplicar Costeo","83279597"
"COS-0012938","Camisetas sublimadad (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",28.57,"13/04/2026 14:26","Duplicar Costeo","83279102"
"COS-0012937","Muestras jean camisa Pedro Mandinga (PA)","MAXIALIMENTOS","Generada Cotización","Simón Román",25.93,"13/04/2026 14:02","Duplicar Costeo","83278323"
"COS-0012936","CHAQUETA  SPORT  Y POLO BODYTECH ABRIL 2026","BODYTECH","Generada Cotización","Xiomara Aranda Perea",23.08,"13/04/2026 13:22","Duplicar Costeo","83277045"
"COS-0012935","Camisetas WWF","WWF","Generada Cotización","Simón Román",33.33,"13/04/2026 12:16","Duplicar Costeo","83272949"
"COS-0012934","LS2-26 SUBRED CENTRO ORIENTE","SECOP II","Creado","Angela Jaramillo",33.33,"13/04/2026 8:18","Solicitar Revisión / Aprobado","83261333"
"COS-0012933","Prendas  Positiva  2 Marzo 2026","MOLT","Creado","Geraldine Ruiz",22.3,"10/04/2026 22:59","Solicitar Revisión / Aprobado","83170254"
"COS-0012932","UNIFORMES  COLEGIO PANAMA ABRIL  2026","Molt Panamá (PA)","Generada Cotización","Xiomara Aranda Perea",23.08,"10/04/2026 15:40","Duplicar Costeo","83151557"
"COS-0012931","Prendas  Positiva  2 Marzo 2026","MOLT","Generada Cotización","Xiomara Aranda Perea",41.69,"10/04/2026 15:26","Duplicar Costeo","83150655"
